iter	Passed	Remaining
0	0	775
1	1	765
2	2	752
3	2	734
4	3	723
5	4	721
6	5	720
7	5	714
8	6	717
9	7	718
10	10	912
11	11	914
12	11	901
13	12	889
14	13	877
15	14	868
16	14	861
17	15	854
18	16	848
19	17	840
20	17	830
21	18	830
22	19	823
23	20	820
24	20	817
25	21	815
26	22	804
27	23	804
28	23	801
29	24	799
30	25	795
31	26	794
32	26	787
33	27	786
34	28	780
35	29	778
36	29	777
37	30	773
38	31	770
39	32	768
40	32	764
41	33	762
42	34	761
43	35	761
44	35	760
45	36	759
46	37	760
47	38	756
48	38	754
49	39	758
50	40	756
51	41	755
52	42	754
53	43	753
54	43	753
55	44	752
56	45	751
57	46	749
58	47	752
59	48	752
60	48	752
61	49	751
62	50	749
63	51	748
64	51	747
65	52	744
66	53	744
67	54	743
68	54	739
69	55	739
70	56	738
71	57	737
72	57	735
73	58	735
74	59	736
75	60	731
76	61	731
77	61	731
78	62	732
79	63	732
80	64	732
81	65	730
82	66	729
83	66	726
84	67	725
85	68	723
86	69	724
87	70	725
88	70	726
89	71	724
90	72	725
91	73	725
92	74	724
93	75	724
94	76	725
95	77	725
96	77	724
97	78	724
98	79	724
99	80	723
100	81	722
101	82	722
102	82	721
103	83	721
104	84	720
105	85	720
106	86	720
107	87	719
108	87	719
109	88	716
110	89	715
111	90	715
112	91	715
113	91	714
114	92	714
115	93	711
116	94	711
117	95	710
118	95	709
119	96	709
120	97	708
121	98	708
122	99	707
123	100	707
124	100	706
125	101	705
126	102	704
127	103	705
128	104	705
129	105	704
130	106	703
131	106	703
132	107	702
133	108	700
134	109	699
135	109	698
136	110	697
137	111	696
138	112	695
139	113	695
140	114	694
141	114	693
142	115	691
143	116	690
144	116	689
145	117	688
146	118	688
147	119	687
148	120	687
149	121	686
150	121	685
151	122	684
152	123	683
153	124	682
154	125	681
155	125	680
156	126	680
157	127	678
158	128	678
159	129	678
160	130	677
161	130	675
162	131	675
163	132	675
164	132	673
165	133	671
166	134	670
167	135	670
168	136	669
169	137	669
170	137	668
171	138	668
172	139	667
173	140	666
174	141	666
175	141	664
176	142	662
177	143	662
178	144	661
179	145	660
180	145	660
181	146	659
182	147	658
183	148	658
184	149	657
185	150	656
186	150	656
187	151	655
188	152	654
189	153	654
190	154	654
191	155	653
192	156	652
193	156	651
194	157	650
195	158	650
196	159	650
197	160	650
198	161	649
199	162	648
200	163	647
201	163	647
202	164	646
203	165	645
204	166	644
205	166	643
206	167	642
207	168	641
208	169	641
209	170	640
210	170	639
211	171	638
212	172	637
213	173	636
214	174	635
215	174	635
216	175	634
217	176	633
218	177	632
219	178	631
220	178	630
221	179	628
222	180	628
223	181	627
224	181	626
225	182	625
226	183	624
227	184	623
228	184	622
229	185	621
230	186	620
231	187	619
232	188	618
233	188	618
234	189	617
235	190	616
236	191	616
237	192	615
238	193	614
239	193	613
240	194	613
241	195	612
242	196	611
243	196	610
244	197	609
245	198	608
246	199	607
247	200	606
248	200	605
249	201	604
250	202	603
251	203	603
252	204	602
253	204	601
254	205	600
255	206	600
256	207	599
257	208	598
258	208	597
259	209	596
260	210	595
261	211	594
262	211	594
263	212	593
264	213	592
265	214	591
266	215	590
267	215	589
268	216	588
269	217	588
270	218	586
271	218	585
272	219	585
273	220	583
274	221	582
275	221	581
276	222	580
277	223	579
278	223	578
279	224	577
280	225	576
281	226	576
282	226	574
283	227	573
284	228	572
285	229	572
286	230	571
287	230	570
288	231	569
289	232	569
290	233	568
291	234	568
292	235	567
293	235	566
294	236	565
295	237	564
296	238	563
297	238	562
298	239	562
299	240	561
300	241	560
301	242	560
302	243	559
303	243	558
304	244	557
305	245	557
306	246	556
307	247	555
308	248	554
309	248	553
310	249	553
311	250	552
312	251	551
313	251	550
314	252	549
315	253	549
316	254	548
317	255	547
318	256	546
319	256	545
320	257	544
321	258	544
322	259	543
323	260	542
324	260	541
325	261	541
326	262	539
327	263	539
328	264	538
329	264	537
330	265	536
331	266	535
332	266	534
333	267	533
334	268	533
335	269	532
336	270	531
337	271	531
338	271	530
339	272	529
340	273	528
341	274	528
342	275	527
343	276	526
344	276	525
345	277	524
346	278	523
347	279	523
348	279	522
349	280	521
350	281	520
351	282	519
352	283	518
353	283	517
354	284	517
355	285	516
356	286	515
357	286	514
358	287	513
359	288	512
360	289	512
361	290	511
362	290	510
363	291	509
364	292	508
365	293	508
366	294	507
367	294	506
368	295	505
369	296	504
370	297	504
371	298	503
372	298	502
373	299	501
374	300	500
375	300	499
376	301	498
377	302	498
378	303	497
379	304	496
380	305	496
381	306	495
382	307	494
383	307	493
384	308	492
385	309	492
386	310	491
387	311	490
388	311	489
389	312	489
390	313	488
391	314	487
392	314	486
393	315	485
394	316	484
395	317	483
396	318	483
397	318	482
398	319	481
399	320	480
400	321	480
401	322	479
402	323	478
403	323	477
404	324	477
405	325	476
406	326	475
407	327	474
408	328	473
409	328	473
410	329	472
411	330	471
412	331	470
413	332	470
414	333	469
415	334	468
416	335	468
417	336	468
418	338	468
419	339	468
420	340	468
421	341	467
422	342	466
423	342	465
424	343	465
425	344	464
426	345	464
427	346	463
428	348	463
429	349	462
430	349	462
431	350	461
432	351	460
433	352	459
434	353	459
435	354	458
436	355	458
437	356	457
438	357	456
439	358	455
440	358	455
441	359	454
442	360	453
443	361	452
444	362	451
445	363	451
446	364	450
447	365	449
448	365	449
449	366	448
450	367	447
451	368	446
452	369	445
453	370	445
454	370	444
455	371	443
456	372	442
457	373	442
458	374	441
459	375	440
460	376	439
461	376	438
462	377	438
463	378	437
464	379	436
465	380	436
466	381	435
467	382	434
468	383	434
469	384	433
470	385	432
471	386	431
472	386	430
473	387	430
474	388	429
475	389	428
476	390	427
477	391	427
478	392	426
479	393	426
480	394	425
481	395	424
482	396	423
483	396	423
484	397	422
485	398	421
486	399	420
487	400	419
488	401	419
489	401	418
490	402	417
491	403	416
492	404	415
493	405	415
494	406	414
495	406	413
496	407	412
497	408	411
498	409	411
499	410	410
500	410	409
501	411	408
502	412	407
503	413	406
504	414	406
505	415	405
506	416	404
507	416	403
508	417	402
509	418	401
510	418	400
511	419	400
512	420	399
513	421	398
514	422	397
515	423	397
516	424	396
517	425	395
518	425	394
519	426	393
520	427	393
521	428	392
522	429	391
523	430	390
524	430	389
525	431	389
526	432	388
527	433	387
528	434	386
529	435	385
530	436	385
531	436	384
532	437	383
533	438	382
534	439	382
535	440	381
536	441	380
537	442	379
538	443	378
539	443	378
540	444	377
541	445	376
542	445	375
543	446	374
544	447	373
545	448	372
546	449	372
547	450	371
548	450	370
549	451	369
550	452	368
551	453	368
552	454	367
553	455	366
554	455	365
555	456	364
556	457	363
557	458	362
558	458	362
559	459	361
560	460	360
561	461	359
562	462	358
563	463	358
564	464	357
565	464	356
566	465	355
567	466	354
568	469	355
569	470	354
570	471	353
571	472	353
572	472	352
573	473	351
574	474	350
575	475	349
576	476	348
577	476	348
578	477	347
579	478	346
580	479	345
581	480	344
582	480	343
583	481	343
584	482	342
585	483	341
586	484	340
587	484	339
588	485	338
589	486	338
590	487	337
591	488	336
592	488	335
593	489	334
594	490	333
595	491	332
596	491	332
597	492	331
598	493	330
599	494	329
600	495	328
601	496	327
602	496	327
603	497	326
604	498	325
605	499	324
606	500	324
607	501	323
608	502	322
609	502	321
610	503	320
611	504	319
612	505	319
613	506	318
614	506	317
615	507	316
616	508	315
617	509	314
618	510	314
619	511	313
620	511	312
621	512	311
622	513	310
623	514	309
624	515	309
625	516	308
626	516	307
627	517	306
628	518	305
629	519	305
630	520	304
631	520	303
632	521	302
633	522	301
634	523	300
635	524	299
636	524	299
637	525	298
638	526	297
639	527	296
640	528	295
641	529	295
642	530	294
643	530	293
644	531	292
645	532	291
646	533	290
647	534	290
648	535	289
649	535	288
650	536	287
651	537	286
652	538	286
653	539	285
654	540	284
655	540	283
656	541	282
657	542	281
658	542	280
659	543	280
660	544	279
661	545	278
662	545	277
663	546	276
664	547	275
665	548	275
666	549	274
667	550	273
668	550	272
669	551	271
670	552	270
671	553	270
672	554	269
673	554	268
674	555	267
675	556	266
676	557	265
677	558	265
678	558	264
679	559	263
680	560	262
681	561	261
682	562	260
683	562	260
684	563	259
685	564	258
686	565	257
687	566	256
688	566	255
689	567	255
690	568	254
691	569	253
692	570	252
693	571	251
694	571	251
695	572	250
696	573	249
697	574	248
698	575	247
699	576	246
700	576	246
701	577	245
702	578	244
703	579	243
704	580	242
705	580	241
706	581	241
707	582	240
708	584	239
709	584	238
710	585	238
711	586	237
712	587	236
713	588	235
714	588	234
715	589	233
716	590	233
717	591	232
718	592	231
719	592	230
720	593	229
721	594	228
722	595	228
723	596	227
724	597	226
725	597	225
726	598	224
727	599	224
728	600	223
729	601	222
730	602	221
731	603	220
732	603	219
733	604	219
734	605	218
735	606	217
736	606	216
737	607	215
738	608	214
739	609	214
740	609	213
741	610	212
742	611	211
743	612	210
744	613	209
745	614	209
746	615	208
747	615	207
748	616	206
749	617	205
750	618	205
751	619	204
752	619	203
753	620	202
754	621	201
755	622	200
756	623	200
757	623	199
758	624	198
759	625	197
760	626	196
761	626	195
762	627	194
763	628	194
764	629	193
765	629	192
766	630	191
767	631	190
768	632	189
769	632	189
770	633	188
771	634	187
772	635	186
773	635	185
774	636	184
775	637	184
776	638	183
777	639	182
778	640	181
779	641	180
780	642	180
781	643	179
782	643	178
783	644	177
784	645	176
785	646	175
786	647	175
787	647	174
788	648	173
789	649	172
790	650	171
791	651	171
792	652	170
793	652	169
794	653	168
795	654	167
796	655	166
797	655	166
798	656	165
799	657	164
800	658	163
801	659	162
802	659	161
803	660	161
804	661	160
805	662	159
806	662	158
807	663	157
808	664	156
809	679	159
810	680	158
811	681	157
812	682	156
813	682	156
814	683	155
815	684	154
816	684	153
817	685	152
818	686	151
819	686	150
820	687	149
821	688	149
822	689	148
823	690	147
824	690	146
825	691	145
826	692	144
827	692	143
828	693	143
829	694	142
830	695	141
831	695	140
832	696	139
833	697	138
834	698	137
835	698	137
836	699	136
837	700	135
838	701	134
839	701	133
840	702	132
841	703	131
842	704	131
843	704	130
844	705	129
845	706	128
846	707	127
847	707	126
848	708	126
849	709	125
850	710	124
851	710	123
852	711	122
853	712	121
854	713	120
855	713	120
856	714	119
